hostname,software
mastodon.sophieversum.net,mastodon
mb.jenot.info,akkoma
hmapl.wordpress.com,wordpress
stream.deloughry.co.uk,owncast
toot.kabuff.club,mastodon
oknewsm.wordpress.com,wordpress
contrib.social,98GravityElectro
mastodon.davepeck.org,mastodon
calligraphicspace.com,writefreely
katzenleben.fritz.cat,writefreely
videos.coletivos.org,peertube
infothema.net,peertube
social.vermona.com,mastodon
m.thebroom.us,mastodon
darkmyre.cloud,firefish
joeydrew.studio,sharkey
m.eula.dev,mastodon
tv.santic-zombie.ru,peertube
social.ironboundsoftware.com,pleroma
social.sp-codes.de,mastodon
nluug.social,mastodon
mastodon.digi.rodeo,mastodon
sundet.io,mastodon
nologo.social,mastodon
sfba.video,peertube
weirdstar.stream,owncast
mastodon.varjonvalo.fi,mastodon
pleroma.comix.gr,pleroma
mastodon.cathect.net,mastodon
torguard.social,mastodon
fedi.zowi.ee,mastodon
social.vvdog.net,gotosocial
pleroma.bosio.info,pleroma
mastodon.mnemi.moe,mastodon
misskey6.xsns.jp,misskey
veru.moe,misskey
friendica.exon.name,friendica
nafo.uk,mastodon
mastodon.tgjb.org,mastodon
brandroam.wordpress.com,wordpress
fission.social,mastodon
mayohiga.net,misskey
selbsthilfe.social,mastodon
git.lillianviolet.dev,forgejo
lsof.uk,mastodon
killer.academy,mastodon
social.biblioco.de,pleroma
kvlt.zone,mastodon
blog.nrmn.no,writefreely
social.hibiki.eu,mastodon
social.p0lymer.net,friendica
libertaria.space,mastodon
mobilizon.flifloo.fr,Mobilizon
evenpace.social,mastodon
fedi.topaz.id.au,sharkey
derekmartinorg.network.thedoodleproject.net,takahe
social.learnlearn.in,microblogpub
mastodon.mags.ai,mastodon
pl.gnu.moe,pleroma
tube.nuxnik.com,peertube
troetet.de,mastodon
lemmy.physfluids.fr,lemmy
social.machauer.dev,mastodon
unaone.social,mastodon
social.anuragbhatia.com,mastodon
hub.houseplants.cc,mastodon
yip.vulpine.engineer,mastodon
mastodon.lagy.org,mastodon
ginpatu.moe,mastodon
mastodon.0x82.com,mastodon
peertube.tmp.rcp.tf,peertube
castilla.social,mastodon
news.lowtechmagazine.com,PieFed
mastodon.pilipinas.dev,mastodon
fd.korako.me,friendica
cwb.social,mastodon
social.paulderaaij.nl,mastodon
mastodon.jamidisi-edu.de,mastodon
cccwi.social,mastodon
gts.fawx.news,gotosocial
mobilizon.cemea.org,Mobilizon
nsinteger.com,mastodon
dacharycarey.social,mastodon
social.fabean.xyz,pleroma
crittercave.net,hometown
lugnsk.org,hubzilla
mstdn.kurosuke.org,mastodon
links.compost.party,betula
peertube.linuxrocks.online,peertube
socl.au,gotosocial
crypt.lol,pleroma
mastodon.rokugan.fr,mastodon
clampicated.aagaming.me,shrimpkey
social.lfx.dev,mastodon
dawdling.net,mastodon
lemmy.eus,lemmy
m.krbonne.net,mastodon
post.nuro.lol,akkoma
mastodon.souperk.gr,mastodon
utveckla.re,mastodon
dym.sh,gotosocial
social.senyuuri.info,mastodon
fedihome.stefanomarinelli.it,snac
moo.nz,mastodon
verr.cc,pleroma
crazylab.online,mastodon
awaymessage.club,mastodon
mastodon.bhop.zone,mastodon
gts.luca.run,gotosocial
audio.solarpunk.moe,funkwhale
live.eulerroom.com,owncast
gade.o-k-i.net,peertube
miltackink.space,mastodon
social.notjustbikes.com,mastodon
itisaal.com,mastodon
chswx.social,mastodon
live.focks.garden,owncast
social.bij1.org,mastodon
social.ichibi.eu,pleroma
tootz.org,mastodon
ramblings.social,mastodon
du.capricom.info,mastodon
pixelfed.photos,pixelfed
fediverse.hanbitgaram.com,hanbitfediverse
shinamikaidou42.com,misskey
social.touhey.org,mastodon
nekonote.fedicity.net,mastodon
readbeanicecream-bookmarks.glitch.me,postmarks
posts.jondoes.com,mastodon
social.ojour.de,friendica
social.memes.nz,mastodon
f.cz,mastodon
social.beutner.name,mastodon
misskey.orapp.net,misskey
fedi.gemlog.ca,mastodon
masto.evelynyap.com,mastodon
2248.live,misskey
miexp.hirasu.com,misskey
gts.thatcat.space,gotosocial
plagu.ee,pleroma
mastodon.runcheck.net,mastodon
nileane.fr,mastodon
social.thiskurt.me,mastodon
mi.chocomint.blue,misskey
433.world,mastodon
pravdasocial.net,mastodon
wedin.us,friendica
sogga.top,pleroma
atheopagan.net,mastodon
misskey.yunpon.club,misskey
3zi.ru,mastodon
computering.pro,akkoma
superhighway.social,mastodon
social.martiabernathey.com,mastodon
ublog.fedi.bbrks.me,akkoma
journa.host,mastodon
juef.net,gotosocial
donotban.com,mastodon
fire.masto.host,mastodon
cruisers.social,mastodon
pxlfd.plus,pixelfed
orbiscognito.com,mastodon
ostatus.ikeji.ma,pleroma
www.afcolegiado.app,mastodon
korallenherz.masto.host,mastodon
forge.citizen4.eu,forgejo
sh.itjust.works,lemmy
syndicat.solidaires.org,mastodon
sn.nekojita.moe,misskey
gs.leftic.club,mastodon
rngm-zakaecommu.fedicity.net,mastodon
weserbergland.social,mastodon
tube-langues-vivantes.apps.education.fr,peertube
bangdream.space,mastodon
megantoots.com,mastodon
info.firefish.dev,firefish
micro.blogs.princeton.edu,mastodon
social.huesken.it,SingleFileActivityPubServerinPHP
social.btbytes.com,gotosocial
tutoteket.no,mastodon
minohdon.jp,mastodon
owncast.small-web.org,owncast
eay.social,mastodon
snac.subversida.de,snac
dev.jewy.blog,writefreely
akarisu.eu,firefish
gpose.site,pixelfed
omfg.town,mastodon
mastodon.open-web.fr,mastodon
social.jirutka.cz,mastodon
ignifi.social,mastodon
freizeitparks.social,mastodon
mastodon.aspisdata.com,mastodon
schizophreniabunker.vip,snac
social.swordandfiddle.co.uk,iceshrimp
pouchi.ca,mastodon
mulberryphotowerx.social,mastodon
www.bobonthenet.com,wordpress
tv.keithhacks.cyou,owncast
mastodon.nogods.be,mastodon
wordsmith.reverie.club,pleroma
minds.excession.llc,mastodon
social.comacero.com,gotosocial
snaggletooth.life,mastodon
mstdn.osfree.org,mastodon
owncast.glenplonk.fr,owncast
mastodon.wazongtest.de,mastodon
videos.laliguepaysdelaloire.org,peertube
mamut.tic-ac.org,mastodon
m.kawaii.gg,mastodon
so.scnr.it,mastodon
lem.ur-mom.gay,lemmy
mastodon.natrinicle.com,mastodon
holzer.social,mastodon
events.silex.me,Mobilizon
socks.masto.host,mastodon
procydon.net,mastodon
mstdn.at,mastodon
social.sprig.gs,gotosocial
bayes.club,mastodon
starbase80.wtf,mastodon
dresserfamily.social,mastodon
meowstodon.net,mastodon
waha.work,mastodon
mast.2enp.cc,mastodon
gts.lyrion.ch,gotosocial
mastodon.saadatmand.pk,mastodon
signal.dadalo.pl,pleroma
social.0x6a64.com,gotosocial
live.osintukraine.com,owncast
blog.tinycities.net,writefreely
declin.eu,pleroma
social.zwoelfdreifuenfundvierzig.net,mastodon
peertube.rlp.schule,peertube
misaka.social,misskey
mastodon.sandbox.skygrid-test.com,mastodon
verse.aubrielee.com,mastodon
mastodon.geneticjen.com,mastodon
rlidea.com,mastodon
mastodon.starnet.cz,mastodon
mstdn.nagito.net,nagitodon
friendica.poppelreuter.de,friendica
toot.nul.ie,mastodon
nya.show,peertube
slonik.0chan.ru,mastodon
mstdn.anchel.nl,mastodon
mastodon.cyprin.eu,mastodon
stream.fossdle.org,owncast
videos.conferences-gesticulees.net,peertube
bolha.tube,peertube
popup1.taymor.io,writefreely
dioxitube.com,peertube
pixel.aire.ml,pixelfed
mastodon.jtl.vision,mastodon
podlibre.social,mastodon
toot.the-cloud.io,mastodon
ser.romu.casa,mastodon
social.notadroid.com,pleroma
social.stellers.gay,akkoma
stream.moparisthe.best,Owncast
art-software.fr,mastodon
compost.testing.sutty.nl,sutty-distributed-press
lemmy.sumuun.net,lemmy
soc.saiyajin.space,mastodon
social.photo,pixelfed
video.oh14.de,peertube
paxation.info,mastodon
social.heinlein-support.de,mastodon
mb.antho.dev,firefish
schniggie.de,microblogpub
miraiverse.xyz,akkoma
happytoo.cyou,pleroma
mastodon.crossfamilyweb.com,mastodon
mastodon.falkvinge.net,mastodon
tube.mfraters.net,peertube
hax.social,mastodon
mk.nekokaze.cc,misskey
cybr.es,mastodon
mstdn.tokyocameraclub.com,mastodon
cytag.nl,mastodon
cybercuties.net,mastodon
geekstodon.com,mastodon
social.mrcol.es,mastodon
social.tmprs.net,pleroma
friendica.ownbox.be,friendica
misskey.gourry.zip,misskey
social.nptcomputing.net,mastodon
social.c1710.de,pleroma
misskey.nukumori-sky.net,misskey
adventurer-guild.org,mastodon
peertube.fenarinarsa.com,peertube
social.yolo.ventures,mastodon
mastodon.gougere.fr,mastodon
freunde.ma-nic.de,friendica
mastodon.ai8w.ddns.net,mastodon
social.bennypowers.com,firefish
permaculture.masto.host,mastodon
mstdn.aoirint.com,mastodon
snug.town,mastodon
vedimak.ru,mastodon
social.kultwiki.net,pleroma
pantsfree.cc,pleroma
mastodon.strasser.wien,mastodon
persistent.info,mastodon
kinowolnosc.pl,peertube
social.yukinobu.jp,mastodon
mastodon.cipherbliss.com,mastodon
tlg.link,mastodon
video.sotamedia.org,peertube
social.voidus.dev,misskey
miki.live4you.one,misskey
jochen-tetzlaff.online,writefreely
tinycities.net,mastodon
socialhome.network,socialhome
mastodon.africa,mastodon
smitenet.com,mastodon
mastodon.gremlins.eu,mastodon
write.tchncs.de,plume
inscribe.social,mastodon
social.inter-mundos.de,mastodon
peertube.beeldengeluid.nl,peertube
social.menuel.eu,gotosocial
hckr.lol,gotosocial
peertube.bubbletea.dev,peertube
amity.zone,mastodon
troet.burg-halle.de,mastodon
habitat.zelle.one,pleroma
gts.sadium.cyou,gotosocial
gts.lapidak.is,gotosocial
mastodon.distos.org,mastodon
video.katehildenbrand.com,peertube
friendica.hellquist.eu,friendica
social.mcavey.net,mastodon
hudba.feildel.fr,funkwhale
carabunga.net,mastodon
soc.gsg.live,mastodon
aschaffenburg.social,mastodon
mona.do,mastodon
friendicabox.inet.place,
mjdvibes.com,wordpress
masto.fediverse.be,mastodon
social.jcs-net.de,mastodon
naturalistlife.com,writefreely
kyu.de,lemmy
gorgon.city,mastodon
mstdn.ofraglapis.net,mastodon
social.nog.community,mastodon
gameswithcode.net,mastodon
mastodon.diniscorreia.com,mastodon
pouet.fedisphere.net,mastodon
mstdn.nijist.info,mastodon
dev.nya.one,misskey
s0l.x0r.org,mastodon
terminal.ink,mastodon
linkblog.arnaus.net,postmarks
instafops.net,pixelfed
videos.tcit.fr,peertube
social.br-linux.org,mastodon
tooter.wishy.co.uk,mastodon
toot.ohhh.no,mastodon
mstdn.my,mastodon
social.axidstudios.com,mastodon
social.huslage.com,hometown
masto.bimbiribase.xyz,mastodon
lemmy.csupes.page,lemmy
spurlock.social,mastodon
social.thilo.app,gotosocial
mstdn.virtecam.net,mastodon
uli.pub,pleroma
watch.libertaria.space,peertube
kuzko.eu,mastodon
audio.pepemoss.com,funkwhale
guistingram.giom.fr,pixelfed
joshuastrobl.social,mastodon
neshweb.tv,peertube
prf.me,mastodon
anakmanis.com,mastodon
scottodon.com,mastodon
social.fedihost.website,gotosocial
void.abnormalfreq.com,friendica
git.chuso.net,forgejo
social.icewind.nl,mastodon
imouto.exposed,sharkey
mastodon.haetsal.me,mastodon
boys-love.xyz,mastodon
blog.m33how.it,writefreely
gts.trycht.cz,gotosocial
peertube.lhc.net.br,peertube
fr.osm.social,mastodon
ibite.lol,mastodon
catswords.social,mastodon
nya.one,misskey
masto.nerdy-technician.social,mastodon
fedi.simonwillison.net,mastodon
brentford.collabfc.com,pleroma
social.netlandish.com,mastodon
petitlutinartube.fr,peertube
tantriskmagi.com,wordpress
social.mykolayiv.dcomm.net.ua,mastodon
muscula.aa0.netvolante.jp,mitra
hersch.xyz,mastodon
vdlc.social,mastodon
plantcuttings.uk,wordpress
masto.marcleroi.be,mastodon
social.bert.org,mastodon
social.durell.net,mastodon
pixelfed.mywire.org,pixelfed
mastodon.windlepoonz.net,mastodon
peertube.elforcer.ru,peertube
masto.social,mastodon
theres.life,mastodon
kirja.casa,bookwyrm
mastodon.postmoderns.info,mastodon
mastodon.janbudke.de,mastodon
social.taborsky.cz,mastodon
mastodon.tudgwal.fr,mastodon
social.purrucker.de,mastodon
friendica.michael-mints.ru,friendica
markusklein.cc,friendica
video.monsieurbidouille.fr,peertube
gotosocial.dev.seppo.social,gotosocial
sevagir.am,mastodon
toot24.de,mastodon
misskey.auroraplanet.blue,sharkey
psh.vercel.app,psh
toot.virtualwolf.org,gotosocial
misskey.soa3.net,misskey
friendica.namestaci.cz,friendica
go.coffee-break.cc,misskey
chat.qca.net,mastodon
ansible.jshwlkr.info,mastodon
social.josheli.com,gotosocial
bloomfield.social,mastodon
fissionator.com,mastodon
directory.federatedhub.org,hubzilla
mastodon.spacenode.net,mastodon
meetups.infosec.exchange,Mobilizon
sevowho.com,wordpress
owncast.deadtom.me,owncast
squ.alid.pw,pleroma
mastodon.apps.scolterius.net,mastodon
social.phenjara.de,gotosocial
social.lithio.fr,pleroma
lemmy.sietch.online,lemmy
write.trees.st,writefreely
moytura.org,mastodon
spacecoloniszation.wordpress.com,wordpress
monero.town,lemmy
beckerbyrd.com,gotosocial
pix.yapbreak.fr,pixelfed
news.idlestate.org,lemmy
tarislandguide.com,wordpress
bookrastinating.com,bookwyrm
pleroma.anduin.net,pleroma
estradiol.city,
kuru.si,mastodon
woof.tech,mastodon
mi.puniana.icu,misskey
kaputtendorf.de,mastodon
harton.social,akkoma
steloj.xyz,mastodon
mastodon.txmrl.net,mastodon
soc.haj.gay,akkoma
mastodon.tarmil.fr,mastodon
misanthrope.social,mastodon
blog.wldunbar.com,writefreely
libros.rizoma1.ar,bookwyrm
rva.fyi,mastodon
mastodont.yvees.ovh,mastodon
bmu.1a23.studio,birdmeetup
gbo.social,mastodon
whoneedsabudget.cheap,mastodon
megalonyx.social,mastodon
narf.social,mastodon
mastodon.rueffer.ch,mastodon
misskey.kinelab.cc,misskey
mastodon.chantierlibre.org,mastodon
st.mstdn.b-shock.org,mastodon
lemmy.installation00.org,lemmy
mustardon.tokyo,mastodon
social.milchreislieferei.de,mastodon
hooves.social,firefish
altelectron.org.uk,pleroma
hub.alangraham.de,hubzilla
tube.schleuss.online,peertube
travel-friends.chat,mastodon
rewrite.in.rs,mastodon
moose.best,lemmy
social.terbeest.org,gotosocial
neat.tube,peertube
omglol.fun,akkoma
goto.77nn.it,gotosocial
mkey.ryuka-lucas.net,misskey
taruntarun.net,mastodon
mastodon.sk,mastodon
tidbits-of-interest.glitch.me,postmarks
wilstoncak.es,mastodon
peertube.apse-asso.fr,peertube
fedi.openmtx.com,pleroma
mastodon.loss.com.de,mastodon
the.ait.place,gotosocial
dood.net,akkoma
lgbtcz.social,mastodon
postmarks.topher.social,postmarks
ghost.cafe,mastodon
sciencemastodon.com,mastodon
copland.social,mastodon
m.talesbythewanderer.com,mastodon
noodle.social,mastodon
techdon.dev,mastodon
friendica.cucitofacile.it,friendica
social.noriakisana.dev,mastodon
wybt.net,mastodon
fursuit.social,mastodon
ooo.eidantoei.org,mastodon
mastodon.cackhanded.net,mastodon
alentours.cc,mastodon
trekkies.social,mastodon
mastodon.babb.be,mastodon
uudizet.tazavaldu.com,wordpress
jemal.contact,mastodon
video.bmu.cloud,peertube
computerfairi.es,mastodon
sosocial.dedioste.net,gotosocial
photos.heath.social,pixelfed
pl.brodi.me,pleroma
social.viorsan.space,gotosocial
mastodon.seabreeze.synology.me,mastodon
mstdn.drawsdraws.com,mastodon
photog.social,mastodon
grahamancestry.com,wordpress
social.jurgenfranse.nl,gotosocial
social.joshthomas.dev,mastodon
hey.gregor.link,mastodon
mastodon.sus-thoss.de,mastodon
israelmemories.com,wordpress
votho.social,mastodon
friend.geoffray-levasseur.org,friendica
anasodon.com,mastodon
social.nisa.cat,akkoma
rando.social,mastodon
empire.miyaco.moe,misskey
recht.social,mastodon
mk.aqr.af,misskey
socialconde.condenastdigital.com,mastodon
social.collies.dev,mastodon
bewegung.social,mastodon
masto.migou.synology.me,mastodon
open3dlab.social,mastodon
social.here.blue,pleroma
toot.tux.si,mastodon
coconatsu.co,mastodon
social.knot.space,mastodon
peasej.me,mastodon
pleroma.autogeree.net,pleroma
josoko.net,mastodon
leibniz.ap.social,mastodon
tomgogal.media,wordpress
t.manfre.net,takahe
mstdn.mrmts.com,mastodon
indymotion.fr,peertube
social.spork.gg,mastodon
social.andrelop.org,gotosocial
legaltech.social,mastodon
mi.yufushiro.dev,misskey
social.schoepski.de,mastodon
livingevil.de,owncast
hae5dong.ttobot.site,mastodon
social.bcicorporate.com,misskey
fluff.land,mastodon
iway.social,mastodon
mastodon.electroncash.de,mastodon
mastodon.thebeeches.house,mastodon
lorazepam.lol,mastodon
ciecuo.club,mastodon
mastodon.cr.yp.to,mastodon
social.codethink.co.uk,mastodon
retro.sus.fr,writefreely
who.needsmo.re,pleroma
ccccoding.club,mastodon
masto.jacobrayschwartz.com,mastodon
toot.coupou.fr,mastodon
dud-video.inf.tu-dresden.de,peertube
social.graves.cl,sharkey
blackstar.cafe,akkoma
social.poltava.dcomm.net.ua,mastodon
pleroma.neuromante.net,akkoma
social.sgsknote.org,mastodon
pigeons.club,mastodon
fedi.kizaing.ca,akkoma
ashka.me,mastodon
m.toad.host,mastodon
yharnam.singles,mastodon
is.badat.dev,akkoma
social.canony.xyz,akkoma
social.popcoding.com,gotosocial
icedlatte.chat,mastodon
feddit.eu,lemmy
alula.gay,misskey
nostalgia-garden.net,mastodon
bath.social,hometown
toot.bldrweb.org,mastodon
mastodon.sngsk.info,mastodon
funkwhale.alpharius.io,funkwhale
bitfudge.com,mastodon
social.askleo.com,mastodon
social.flipboard.com,mastodon
x.ir31.com,mastodon
lesbianschool.com,mastodon
ap.ledeuns.net,snac
i-nonaka.net,mastodon
bbs.fedibox.com,misskey
omni-streams.games,owncast
gosocial.au,mastodon
toot.coinfund.app,mastodon
adxm.social,mastodon
m.mashiro.top,misskey
tube.nestor.coop,peertube
the.caffeination.space,mastodon
jtrem.me,mastodon
mastodon.gregnilsen.com,mastodon
video.windfluechter.org,peertube
mastodon.darkplanetego.de,mastodon
metasocial.com,mastodon
gancio.daghe.xyz,gancio
writefreely.maupao.nohost.me,writefreely
pluffy.monster,mastodon
toot.whatever.cz,mastodon
kinktroet.social,mastodon
fedi.tycho.space,gotosocial
clrk.space,mastodon
southampton.social,mastodon
possum.city,sharkey
tiphon.nerv-project.eu,mastodon
hifish.social,mastodon
peertube-docker.cpy.re,peertube
verbum.cc,writefreely
radio.quaqoostore.net,mastodon
koreadon.com,mastodon
social.sonicbunny.com,mastodon
peertube.apps.mzclp.de,peertube
social.librenode.org,mastodon
otherling.social,sharkey
voiceover.actor,mastodon
library.chatan.cc,bookwyrm
io.lu,mastodon
deception.codes,mastodon
mastodon.oromit.de,mastodon
peertube.be,peertube
relay.transgender.ing,aoderelay
uberspace.social,mastodon
relay.babb.be,aoderelay
cupoftea.social,mastodon
tlv.cool,mastodon
catharsis.cafe,mastodon
dev01.mstdn.misaca.network,mastodon
hallen.kr,firefish
mdon.ee,mastodon
cum.salon,pleroma
100terres.social,mastodon
nanobyte.cafe,mastodon
nickapos.social.oncrete.gr,firefish
mastodon.inf.ethz.ch,mastodon
mstdn.dsj-toot.com,kmyblue
friends.mbober.de,friendica
blog.cheribaker.com,writefreely
video.uriopss-pdl.fr,peertube
mitten.dur.ch,mastodon
is.lewd.pm,mastodon
zombofant.net,mastodon
fedi.tyil.nl,misskey
fedi.yuugi.dev,akkoma
fedii.xn--n3haa.ws,mastodon
mudhut.social,mastodon
social.j62.de,mastodon
kanina.be,mastodon
patesadon.com,mastodon
mastodon.ping.de,mastodon
nogafam.zone,pleroma
mstdn-kitakubu.com,mastodon
social.v4v.dev,mastodon
posts.digitaldemocracies.org,mastodon
kblue.10rino.net,kmyblue
friendica.keithhacks.cyou,friendica
open-source-eschaton.net,mastodon
social.opendium.com,mastodon
social.fifteen40.com,mastodon
jugendtrier.de,mastodon
www.mastodonium.de,mammuthus
bopjoy.cafe,mastodon
peertube.tata.casa,peertube
social.cisoft.co.cr,mastodon
social.belowland.com,lemmy
gnusocial.net,gnusocial
wf.fun.systems,writefreely
mstdn.hyogo.jp,mastodon
thingy.social,mastodon
holme.social,mastodon
spielwiese.rwsr-xr-x.de,gotosocial
videos.tuist.io,peertube
fedi.u2p.net,akkoma
siina.live,owncast
mastodon.pathconnect.de,mastodon
hema.community,mastodon
blog.elizafox.space,writefreely
tv.duc.gay,owncast
www.archipell.xyz,writefreely
mastodon.feedmechocolate.com,mastodon
moeanime.io,misskey
tryme.social,mastodon
hails.org,mastodon
rogue-net.work,firefish
overkill.social,mastodon
mastodon.fun,mastodon
pixel.xarxa.cloud,pixelfed
connect.daniel.digital,mastodon
communick.stream,funkwhale
mastodon.chuggybumba.com,mastodon
gabvp.masto.host,mastodon
stuudio2.uudistekeskus.ee,owncast
masto.chezwam.eu,mastodon
relay.toot.yukimochi.jp,activity-relay
mastodon.bachgau.social,mastodon
khiar.net,mastodon
peertube.vhack.eu,peertube
orctavern.pub,mastodon
unicuskey.com,misskey
mastodon.funkturm7.de,mastodon
sobieski.social,mastodon
fieldnotes.social,mastodon
social.tzimos.xyz,akkoma
bookwyrm.teamb.space,bookwyrm
mastodon.bentasker.co.uk,mastodon
social.parentheticalrecluse.com,mastodon
tvitero.com,mastodon
xn--y9azesw6bu.xn--y9a3aq,socialhome
note.computer,mastodon
dreiecksnebel.alex-detsch.de,peertube
tube.balamb.fr,peertube
mastodon.macsnet.cz,mastodon
my.elven.pw,mastodon
hvac-tf.net,misskey
stream.biovisata.lt,peertube
fedi.mischivous.com,akkoma
mastoben.rocks,mastodon
trainingnotes.ianbgibson.com,writefreely
owncast.xylinvale.space,owncast
social.zaaltek.net,mastodon
cottbus.vonunten.org,Mobilizon
mastodon.arcepi.net,mastodon
video.lycee-experimental.org,peertube
social.xin.cat,mastodon
malison.org,writefreely
waldbewohner.eu,sharkey
vanilli.co.uk,microblogpub
peertube.kleph.eu,peertube
m.in0rdr.ch,mastodon
vueport.whippy.kr,mastodon
toot.re,mastodon
dfir.social,mastodon
maratang.life,mastodon
funkwhale.niel.me,funkwhale
tube.aquilenet.fr,peertube
kinryouku.tenshi.zip,akkoma
demo.writeas.org,writefreely
snac.sergiodj.net,snac
social.yeschenko.com,mastodon
ohai.social,mastodon
mas.spark.moe,mastodon
social.larus.se,gotosocial
mastodon.davidized.com,mastodon
toot.kottman.xyz,mastodon
blog.ugurelveren.com,writefreely
plural.cafe,glitchcafe
klaxon.caminosinnombre.com,Klaxon
social.zcdev.org,mastodon
pixelfed.fftlt.net,pixelfed
live.fellr.net,owncast
husky.xyz,mastodon
social.vaguelydamp.com,mastodon
mariko2406.fedicity.net,mastodon
relay.bolha.us,aoderelay
git.danirod.es,forgejo
afnsocial.co,mastodon
ra.0lb.be,gotosocial
sciences.dental,mastodon
shonk.phite.ro,sharkey
git.torchmc.ru,forgejo
planetboca.com,mastodon
mastodon.ozioso.online,mastodon
social.mattrnet.org,pleroma
fed.vulpo.one,friendica
peertube.keazilla.net,peertube
social.tthi.as,mastodon
s.lacko.network,misskey
agora-thinktanks.social,mastodon
tube.gaiac.io,peertube
mi.neko3.dev,misskey
westergaard.photos,pixelfed
fedi.demelt.net,mastodon
science.patchwork.online,mastodon
nekonya.nekosnowy.moe,mastodon
mstdn.teamblow.jp,mastodon
cozy-space.blue,misskey
masto.hitorino.tv,mastodon
mastodon.jannis-goeing.de,mastodon
watch.chriswere.wales,owncast
mstdn.geanix.com,mastodon
sacred.harpy.faith,pleroma
social.crablab.uk,mastodon
nsfw.lehtiin.eu,akkoma
tokoroten.doncha.net,tokoroten
social.farcaller.net,mastodon
ben.wtf,mastodon
social.simonschoof.com,mastodon
bluelupine.social,mastodon
social.demi-sec.org,mastodon
plume.musain.cafe,plume
misskey-test-1.yunochi.com,misskey
mastodon.o3o.icu,mastodon
tmss2291-1.hostdon.ne.jp,mastodon
myprivate.social,mastodon
skol.social,mastodon
burque.fun,gancio
todfox.site,mastodon
wiki.style,mastodon
social.darndt.de,mastodon
sicem.social,mastodon
photos.poprox.group,pixelfed
social.demariaaviation.com,mastodon
gts.cupcakerob.nl,gotosocial
flaximus.net,takahe
isocial.cloud,mastodon
probandoactivitypub14.sutty.nl,sutty-distributed-press
bols.games,mastodon
bikesare.cool,mastodon
karkador.com,mastodon
lotuseffect.social,mastodon
social.mikewise.ca,mastodon
toot.salted.fish,mastodon
mastodon.snek.dev,mastodon
phouon.com,mastodon
noot.pingu4.me,mastodon
magical-ribbon.net,mastodon
traumerei-garden.site,mastodon
books.ignifi.social,bookwyrm
social.onlinesession.app,misskey
social.azureheads.gr,mastodon
tube.cnr.it,peertube
social.mindplex.ai,mastodon
social.khromatic-myst.com,akkoma
observant-vilshsapk.wordpress.com,wordpress
social.itsvic.dev,sharkey
cville.online,mastodon
tube.fdn.fr,peertube
relay.infosec.exchange,aoderelay
gts.scambier.xyz,gotosocial
social.zvavybir.eu,mastodon
mediocre.photos,pixelfed
sns.ooto.me,mastodon
wellesley100.masto.host,mastodon
mstdev.stcpt.com,mastodon
fedi.b0bmagic.eu.org,pleroma
polyomino.app,mastodon
toot.monster,mastodon
mastodon.monich.dk,mastodon
mastodon.leftist.work,mastodon
wulf.social,mastodon
m.appdevs.io,mastodon
nondualself.com,wordpress
waskuisland.com,mastodon
mastodon.8086.org,mastodon
mastodon.mesolvarde.eu,mastodon
hinzundcode.social,mastodon
pleroma.cyber.gent,pleroma
stem.lgbt,mastodon
ordinary.cafe,mastodon
taproot.social,mastodon
mastodon.musicstudio.pro,mastodon
ryona.quasivoid.net,gotosocial
relay.andrelop.org,aoderelay
owncast.lab.how,owncast
pix.mornie.org,pixelfed
fjdk.uk,lemmy
mad.convoca.la,gancio
tube.systerserver.net,peertube
film.k-prod.fr,peertube
trombas.vost.pt,mastodon
nt.mstdon.app,mastodon
patashnik.club,mastodon
tty.pw,misskey
pix.test.fedi.monster,pixelfed
fedi.fyralabs.com,misskey
mastodon.themarkup.org,mastodon
rooting.music.blog,wordpress
fedi.ee,mastodon
social.ksite.de,mastodon
1132don.com,mastodon
social.genya0407.link,mastodon
meow.miabaka.moe,sharkey
m.cmx.im,mastodon
xim.ca,firefish
social.cyberspark.co.uk,mastodon
hermherm.org,firefish
argon.city,hometown
yagimofu.moe,misskey
nijimiss.moe,misskey
aseasonedwritertarahuck.com,wordpress
social.blueforest.cc,gotosocial
ippaitaberukimigasukey.com,misskey
metikumity.com,mastodon
thedoodleprojectcom.network.thedoodleproject.net,takahe
fed.chapple.ie,mastodon
blog.fami.ga,mastodon
social.cybertalk.io,mastodon
toot.groundctrl.earth,mastodon
matthewbogart.com,mastodon
whitehouse.org,mastodon
ruinous.social,mastodon
hometown.synapthein.org,hometown
equestrian.social,mastodon
fed.leiden.digital,gotosocial
bw.kudomaru.com,bookwyrm
wojciech.life,writefreely
media.undeadnetwork.de,peertube
mamot.fr,mastodon
catodon.social,catodon
toot.bieniek-it.de,mastodon
social.fediverse.events,mastodon
l.mchome.net,lemmy
dersonic.de,mastodon
meron.cloud,misskey
social.saghul.net,pleroma
musicaparapiano.sutty.nl,sutty-distributed-press
social.sssa.africa,mastodon
blog.sandm.cc,writefreely
enchanted.social,mastodon
social.design.systems,mastodon
friendica.knowbility.nl,Friendica
magray.family,mastodon
mastodon.maxweiss.io,mastodon
leuno.kr,mastodon
tube.systemz.pl,peertube
social.rocketsfall.net,lemmy
lemmy.gregw.us,lemmy
astrotwitter.masto.host,mastodon
misscraft.us,sharkey
music.drawk.cab,funkwhale
bat.chat,mastodon
kinkpic.site,pixelfed
tardis.pw,gotosocial
social.lainon.life,pleroma
funpub.tests.lavacat.obl.ong,funpub
