hostname,software
famjam.social,mastodon
gm-cloud.org.uk,mastodon
social.vicicode.com,gotosocial
fedi.katze.sh,mastodon
special.videovortex.tv,peertube
toots.hubns.net,mastodon
mk.fedcast.ch,sharkey
luna.vg,akkoma
mastodon.ethibox.fr,mastodon
imsim.dev,misskey
mast.solarisfire.com,mastodon
innkeepergames.com,writefreely
lemmy.fedi.zutto.fi,lemmy
matthewbogart.live,owncast
goto.hellsite.site,gotosocial
itchy.5p.lt,wordpress
toot.works,mastodon
hell.twtr.plus,pleroma
tsukihi.me,mastodon
spurs.collabfc.com,pleroma
social.fa-fo.de,mastodon
publiclaw.space,mastodon
social.raspinerd.de,mastodon
poliverso.org,friendica
nycr.social,mastodon
misskey.cloud,misskey
irrelephant.co,mastodon
goslar.social,mastodon
groups.zeroes.ca,friendica
usagi.reisen,FChannel
gts.fellr.net,gotosocial
fd00.space,mastodon
mastodon.net.au,mastodon
1.048596.observer,akkoma
relay.expressional.social,activity-relay
mastodonchina.com,mastodon
otter.cx,mastodon
introvert.social,akkoma
mitexleo.one,mastodon
easymode.im,sharkey
webxr.social,mastodon
decayable.ink,pleroma
social.helpsterte.eu,sharkey
fudii.xyz,cherrypick
cunnyfu.cc,sharkey
live.lukaprincic.si,owncast
mobiliteactive.org,mastodon
tmint.social,wildebeest
tube.opportunis.me,peertube
nugen.me,mastodon
blog.dragon.moe,writefreely
mastodon.kotet.jp,mastodon
unreachable.cloud,lemmy
video.tippetarius.ru,peertube
radikal.social,mastodon
tube.new.rinri-d.xyz,peertube
social.dssc.io,mastodon
the.kenphused.cafe,mastodon
lemmy.dynatron.me,lemmy
mastodon.bostoncaucus.club,mastodon
telefant.net,mastodon
welsea.site,mastodon
pleroma.marchera-pas.fr,pleroma
ideas.mymath.rocks,bovine
social.apreslanu.it,mastodon
hiroikey-dev.stesan.dev,misskey
radiation.party,lemmy
astronomy.social,mastodon
milk.choco.ink,firefish
dataare.cool,mastodon
pod.geraspora.de,diaspora
sdk.co,mastodon
netstream.techniverse.net,owncast
misskey.cyakigasi.net,misskey
goat2.breydon.id.au,gotosocial
toot.smwhr.net,pleroma
newsbots.californialocal.com,mastodon
social.vleij.com,mastodon
misskey.luke256.dev,misskey
gregism.com,pixelfed
mastodon.alex.net,mastodon
open.noyaskey.net,misskey
mastodon.lettucegarden.net,mastodon
lights.tokyo,firefish
soukun.io,misskey
mastodon.joaoleitao.org,mastodon
social.khmelnytskyi.dcomm.net.ua,mastodon
euproject.info,mastodon
mastodon.loopa.site,mastodon
mastodon.preppers-shelter.nl,mastodon
bjerre.social,gotosocial
mk.chiwa.net,misskey
peertube.uno,peertube
immerweiterlaufen.org,gancio
mastodon.design,mastodon
literally.pictures,pixelfed
live.deb.at,owncast
toot.snipesearch.co.uk,mastodon
skaya.ligun.net,misskey
nicomedkey.cc,misskey
moo.pub,mastodon
social.cnschn.com,gotosocial
adtech.life,mastodon
social.theredcaps.net,pleroma
mtl.rocks,pleroma
social.bnrub.in,mastodon
loud.computer,mastodon
mastodon.foxocube.xyz,mastodon
burn.capital,mastodon
lemmy.8th.world,lemmy
social.cloudron.io,mastodon
fossdev.fr,gotosocial
social.tulsa.ok.us,mastodon
chaosfurs.social,mastodon
a11y.info,mastodon
akko.contref.eu,akkoma
restive.social,mastodon
comfy.social,misskey
social.danpalmer.me,mastodon
akko.isabelroses.com,akkoma
video.stwst.at,peertube
toots.cordelya.net,mastodon
hubzilla.ownbox.be,hubzilla
tastingtraffic.net,mastodon
gts.blahaj.pl,gotosocial
altparty.social,mastodon
m.nennneko5787.net,misskey
cho.yukiya.me,mastodon
timesink.p3nguin.org,lemmy
instance.actor,iceshrimp
tube.io18.top,peertube
mastodon.fishnet.vip,mastodon
fedi.solimano.org,pleroma
kish.social,mastodon
radio.schuerz.at,funkwhale
mastodon.spse.dev,mastodon
fediverse.jarv.is,mastodon
feddit.dk,lemmy
forge.greenboi.me,forgejo
mastodon.dataden.gay,mastodon
zsiegel.social,mastodon
mastodon.lnsystems.de,mastodon
sonomaca.social,mastodon
soshar.dess.ga,misskey
has.siktir.in,gotosocial
darnell.moe,misskey
events.ravergram.club,Mobilizon
teto.zone,akkoma
tummy.town,pleroma
social.vampyrebytes.net,mastodon
mutekey.games,calckey
video.ocs.nu,peertube
libertynode.cam,pixelfed
eimsbuettel.social,mastodon
shitposter.world,pleroma
social.spiritofcontradiction.eu,writefreely
roughdraft.party,mastodon
mika.valkyrisskey.uk,misskey
xn--49ap3c.xn--y9a3aq,socialhome
video.everythingbagel.me,peertube
yagamin.com,misskey
sns.govanify.com,mastodon
p.bg.sb,pleroma
mastodon.wellperns.com,mastodon
m.tsai.it,misskey
mobilizon.colibris-outilslibres.org,Mobilizon
poopy.social,mastodon
karakun.social,mastodon
mates.cafe,mastodon
choom.club,pixelfed
bonn.social,mastodon
brunic.com,mastodon
mk.hyrulelabs.com,sharkey
mtdn.saprayworld.com,mastodon
msky.co8rt.blue,misskey
